time,EMA
2020-02-06,127.5472
2020-02-05,127.1867
2020-02-04,126.8271
2020-02-03,126.5954
2020-01-31,126.4123
2020-01-30,126.2731
2020-01-29,126.2614
2020-01-28,126.2323
2020-01-27,126.1678
2020-01-24,126.1194
2020-01-23,126.0336
2020-01-22,125.9028
2020-01-21,125.7503
2020-01-17,125.6832
2020-01-16,125.6308
2020-01-15,125.5835
2020-01-14,125.5607
2020-01-13,125.5525
2020-01-10,125.5295
2020-01-09,125.5043
2020-01-08,125.4777
2020-01-07,125.4774
2020-01-06,125.4980
2020-01-03,125.5208
2020-01-02,125.5394
2019-12-31,125.5383
2019-12-30,125.5630
2019-12-27,125.6112
2019-12-26,125.6143
2019-12-24,125.6242
2019-12-23,125.6330
2019-12-20,125.6313
2019-12-19,125.6288
2019-12-18,125.6455
2019-12-17,125.6654
2019-12-16,125.6893
2019-12-13,125.7154
2019-12-12,125.7404
2019-12-11,125.7452
2019-12-10,125.7793
2019-12-09,125.8113
2019-12-06,125.8437
2019-12-05,125.8899
2019-12-04,125.9616
2019-12-03,126.0332
2019-12-02,126.1039
2019-11-29,126.1611
2019-11-27,126.1907
2019-11-26,126.2336
2019-11-25,126.2527
2019-11-22,126.2556
2019-11-21,126.2892
2019-11-20,126.3327
2019-11-19,126.3892
2019-11-18,126.4221
2019-11-15,126.4595
2019-11-14,126.4961
2019-11-13,126.5409
2019-11-12,126.5775
2019-11-11,126.5942
2019-11-08,126.6134
2019-11-07,126.5929
2019-11-06,126.5705
2019-11-05,126.5574
2019-11-04,126.5606
2019-11-01,126.5679
2019-10-31,126.6150
2019-10-30,126.6963
2019-10-29,126.7512
2019-10-28,126.8337
2019-10-25,126.8780
2019-10-24,126.9330
2019-10-23,127.0145
2019-10-22,127.0919
2019-10-21,127.1786
2019-10-18,127.2927
2019-10-17,127.3811
2019-10-16,127.4681
2019-10-15,127.4115
2019-10-14,127.3373
2019-10-11,127.2794
2019-10-10,127.2070
2019-10-09,127.1632
2019-10-08,127.1457
2019-10-07,127.1517
2019-10-04,127.1041
2019-10-03,127.0238
2019-10-02,126.9599
2019-10-01,126.9009
2019-09-30,126.8041
2019-09-27,126.6728
2019-09-26,126.5793
2019-09-25,126.4781
2019-09-24,126.3820
2019-09-23,126.3115
2019-09-20,126.2323
2019-09-19,126.1550
2019-09-18,126.0559
2019-09-17,125.9688
2019-09-16,125.8802
2019-09-13,125.7847
2019-09-12,125.6653
2019-09-11,125.5443
2019-09-10,125.4212
2019-09-09,125.2689
2019-09-06,125.1588
2019-09-05,125.0841
2019-09-04,125.0004
2019-09-03,125.0012
2019-08-30,125.0431
2019-08-29,125.0594
2019-08-28,125.0881
2019-08-27,125.1566
2019-08-26,125.2559
2019-08-23,125.3790
2019-08-22,125.5125
2019-08-21,125.5607
2019-08-20,125.6111
2019-08-19,125.6857
2019-08-16,125.7240
2019-08-15,125.7869
2019-08-14,125.8850
2019-08-13,125.9976
2019-08-12,126.0283
2019-08-09,126.0906
2019-08-08,126.1169
2019-08-07,126.0703
2019-08-06,126.0705
2019-08-05,126.0410
2019-08-02,126.0104
2019-08-01,125.8603
2019-07-31,125.6510
2019-07-30,125.4756
2019-07-29,125.2686
2019-07-26,125.0371
2019-07-25,124.7922
2019-07-24,124.5601
2019-07-23,124.3298
2019-07-22,124.0885
2019-07-19,123.8541
2019-07-18,123.6160
2019-07-17,123.3740
2019-07-16,123.2472
2019-07-15,123.1094
2019-07-12,122.9727
2019-07-11,122.8439
2019-07-10,122.7399
2019-07-09,122.6479
2019-07-08,122.5749
2019-07-05,122.4777
2019-07-03,122.3638
2019-07-02,122.2446
2019-07-01,122.1472
2019-06-28,122.0540
2019-06-27,121.9952
2019-06-26,121.9239
2019-06-25,121.8511
2019-06-24,121.7798
2019-06-21,121.6889
2019-06-20,121.5989
2019-06-19,121.5135
2019-06-18,121.4588
2019-06-17,121.4158
2019-06-14,121.3981
2019-06-13,121.3764
2019-06-12,121.3431
2019-06-11,121.3254
2019-06-10,121.2876
2019-06-07,121.2711
2019-06-06,121.2806
2019-06-05,121.3101
2019-06-04,121.3536
2019-06-03,121.3761
2019-05-31,121.4799
2019-05-30,121.6092
2019-05-29,121.6939
2019-05-28,121.7781
2019-05-24,121.8499
2019-05-23,121.8899
2019-05-22,121.9287
2019-05-21,121.8957
2019-05-20,121.8602
2019-05-17,121.8484
2019-05-16,121.8510
2019-05-15,121.8251
2019-05-14,121.8257
2019-05-13,121.8463
2019-05-10,121.9020
2019-05-09,121.8873
2019-05-08,121.8720
2019-05-07,121.8376
2019-05-06,121.8090
2019-05-03,121.7302
2019-05-02,121.6522
2019-05-01,121.5846
2019-04-30,121.4981
2019-04-29,121.4150
2019-04-26,121.3524
2019-04-25,121.2814
2019-04-24,121.2236
2019-04-23,121.1408
2019-04-22,121.0475
2019-04-18,120.9803
2019-04-17,120.8857
2019-04-16,120.8113
2019-04-15,120.6263
2019-04-12,120.4599
2019-04-11,120.2821
2019-04-10,120.1110
2019-04-09,119.9502
2019-04-08,119.8026
2019-04-05,119.6288
2019-04-04,119.4536
2019-04-03,119.2838
2019-04-02,119.0952
2019-04-01,118.9143
2019-03-29,118.7242
2019-03-28,118.5701
2019-03-27,118.4342
2019-03-26,118.3079
2019-03-25,118.1613
2019-03-22,118.0306
2019-03-21,117.8923
2019-03-20,117.7153
2019-03-19,117.5679
2019-03-18,117.4015
2019-03-15,117.2368
2019-03-14,117.0828
2019-03-13,116.9374
2019-03-12,116.7931
2019-03-11,116.6510
2019-03-08,116.5164
2019-03-07,116.4264
2019-03-06,116.3297
2019-03-05,116.2018
2019-03-04,116.0550
2019-03-01,115.8952
2019-02-28,115.7184
2019-02-27,115.5573
2019-02-26,115.3741
2019-02-25,115.1773
2019-02-22,114.9812
2019-02-21,114.7850
2019-02-20,114.6103
2019-02-19,114.4291
2019-02-15,114.2317
2019-02-14,114.0424
2019-02-13,113.8773
2019-02-12,113.6900
2019-02-11,113.5256
2019-02-08,113.3951
2019-02-07,113.2670
2019-02-06,113.1457
2019-02-05,112.9941
2019-02-04,112.8533
2019-02-01,112.7160
2019-01-31,112.5954
2019-01-30,112.4666
2019-01-29,112.3360
2019-01-28,112.2036
2019-01-25,112.0697
2019-01-24,111.9383
2019-01-23,111.8301
2019-01-22,111.7133
2019-01-18,111.7795
2019-01-17,111.8238
2019-01-16,111.8981
2019-01-15,111.9842
2019-01-14,112.0700
2019-01-11,112.1815
2019-01-10,112.2761
2019-01-09,112.3667
